vertex,cluster,btw_centrality,degree
Norris P 2001,1,32.905155212881496,1
Van Dijk J 2003,1,13.713748808874463,0.5702361077987121
Selwyn N 2004-1,1,16.246335397323325,0.6062485094204627
Warschauer M 2003-1,1,3.364132790974463,0.26782733126639635
Warschauer M 2003-2,1,4.257092811777294,0.3496303362747436
Compaine B 2001-1,1,2.8152418116813274,0.3057476746959218
Barzilai-Nahon K 2006,1,3.2541036260632072,0.32077271643214883
Gunkel D 2003,1,4.594096192556454,0.23109945146673028
Katz J 2002-1,1,4.5521975146504285,0.2513713331743382
Van Dijk J 2005-1,2,8.848823850372874,0.6436918673980444
Van Dijk J 2006-1,2,9.04243395523821,0.5747674695921774
Hargittai E 2002,2,4.7533344489628515,0.44383496303362746
Dimaggio P 2004,2,7.338643588249981,0.5230145480562843
Hargittai E 2008-1,2,3.1564269859469105,0.4137848795611734
Livingstone S 2007-1,2,3.3976921641787063,0.4340567612687813
Davis F 1989-1,2,0.5014995812811222,0.2637729549248748
Mossberger K 2003,2,4.716952127253189,0.3763415215835917
Bonfadelli H 2002,2,2.6179388675808477,0.2914381111376103
Dimaggio P 2001-1,2,1.8147274756587735,0.28452182208442645
Hargittai E 2010-1,2,0.3085547520228318,0.21631290245647508
Selwyn N 2006-1,2,1.7672465230174308,0.21202003338898165
Chinn M 2007,3,1.94946566510679,0.27355115668972096
Kiiski S 2002,3,0.49153133557341844,0.29072263295969475
Hargittai E 1999,3,1.0075245764981369,0.25614118769377536
Corrocher N 2002,3,0.781521801478491,0.23229191509658956
Chen W 2004,3,3.393985916923447,0.20176484617219176
Demoussis M 2006,3,0.452252226202656,0.20462675888385404
Ono H 2007,3,2.561183739588692,0.20224183162413548
Beilock R 2003,3,0.4585077004530033,0.20701168614357263
Hoffman D 1998-1,3,0.9376485516291475,0.20295730980205104
